"site1"	"site2"	"dyad_ID"	"behavior"	"behavioral_class"	"shared"	"nepra_binary"	"nepra_proportion"	"ibd_binary"	"same_subspecies"	"distance"	"same_habitat"	"mean_refugia_distance"	"mean_annual_precipitation"	"min_observation_time"
"98"	"Bafing"	"Boe"	"Bafing_Boe"	"Honey eating"	"non-tool"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"99"	"Bafing"	"Boe"	"Bafing_Boe"	"Marrow pick"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"100"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Honey above-ground"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"101"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Ant eating"	"non-tool"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"102"	"Bateke"	"Boe"	"Bateke_Boe"	"Leaf sponge"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"103"	"Bateke"	"Boe"	"Bateke_Boe"	"Algae fishing"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"104"	"Bateke"	"Boe"	"Bateke_Boe"	"Honey above-ground"	"simple"	1	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"105"	"Bafing"	"Boe"	"Bafing_Boe"	"Termite fishing"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"106"	"Bafing"	"Boe"	"Bafing_Boe"	"Ant eating"	"non-tool"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"107"	"Bafing"	"Boe"	"Bafing_Boe"	"Leaf sponge"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"108"	"Bafing"	"Boe"	"Bafing_Boe"	"Ant fishing"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"109"	"Bafing"	"Boe"	"Bafing_Boe"	"Underground toolset"	"complex"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"110"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Ant dipping"	"simple"	1	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"111"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Water dipping"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"112"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Algae fishing"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"113"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Leaf sponge"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"114"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Termite fishing"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"115"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Ant fishing"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"116"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Ant eating"	"non-tool"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"117"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Nut cracking"	"complex"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"118"	"Bateke"	"Boe"	"Bateke_Boe"	"Water dipping"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"119"	"Bateke"	"Boe"	"Bateke_Boe"	"Honey toolset"	"complex"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"120"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Honey eating"	"non-tool"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"121"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Underground toolset"	"complex"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"122"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Marrow pick"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"123"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Termite eating"	"non-tool"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"124"	"Bateke"	"Boe"	"Bateke_Boe"	"Termite eating"	"non-tool"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"125"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Honey underground "	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"126"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Honey eating"	"non-tool"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"127"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Water dipping"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"128"	"Bafing"	"Boe"	"Bafing_Boe"	"Algae fishing"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"129"	"Bafing"	"Boe"	"Bafing_Boe"	"Honey toolset"	"complex"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"130"	"Bafing"	"Boe"	"Bafing_Boe"	"Ant dipping"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"131"	"Bafing"	"Boe"	"Bafing_Boe"	"Honey underground "	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"132"	"Bafing"	"Boe"	"Bafing_Boe"	"Termite eating"	"non-tool"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"133"	"Bateke"	"Boe"	"Bateke_Boe"	"Honey underground "	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"134"	"Bateke"	"Boe"	"Bateke_Boe"	"Ant dipping"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"135"	"Bateke"	"Boe"	"Bateke_Boe"	"Nut cracking"	"complex"	NA	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"136"	"Bateke"	"Boe"	"Bateke_Boe"	"Termite fishing"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"137"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Marrow pick"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"138"	"Bateke"	"Boe"	"Bateke_Boe"	"Ant eating"	"non-tool"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"139"	"Bateke"	"Boe"	"Bateke_Boe"	"Marrow pick"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"140"	"Bateke"	"Boe"	"Bateke_Boe"	"Underground toolset"	"complex"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"141"	"Bateke"	"Boe"	"Bateke_Boe"	"Honey eating"	"non-tool"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"142"	"Bateke"	"Boe"	"Bateke_Boe"	"Ant fishing"	"simple"	0	0	3e-05	0	0	3468827.50350754	1	417.3183252	87	15
"143"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Honey toolset"	"complex"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"144"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Algae fishing"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"145"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Termite fishing"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"146"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Termite eating"	"non-tool"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"147"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Leaf sponge"	"simple"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"148"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Underground toolset"	"complex"	0	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"149"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Honey above-ground"	"simple"	1	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"150"	"Bili-Uele"	"Boe"	"Bili-Uele_Boe"	"Ant dipping"	"simple"	1	0	0.000144439	0	0	4364422.25747762	0	406.3326426	80.02631579	1
"151"	"Boe"	"Budongo"	"Boe_Budongo"	"Water dipping"	"simple"	0	0	0.000441175	0	0	5155090.7483523	0	336.88710521	79.333333335	10
"152"	"Boe"	"Budongo"	"Boe_Budongo"	"Termite fishing"	"simple"	0	0	0.000441175	0	0	5155090.7483523	0	336.88710521	79.333333335	10
"153"	"Bafing"	"Budongo"	"Bafing_Budongo"	"Termite fishing"	"simple"	0	0	8.04e-05	0	0	4788225.47364778	0	301.98405511	79.333333335	10
"154"	"Bafing"	"Budongo"	"Bafing_Budongo"	"Ant fishing"	"simple"	0	0	8.04e-05	0	0	4788225.47364778	0	301.98405511	79.333333335	10
"155"	"Bafing"	"Budongo"	"Bafing_Budongo"	"Water dipping"	"simple"	0	0	8.04e-05	0	0	4788225.47364778	0	301.98405511	79.333333335	10
